"","x"
"1",336218.727363319
"2",847556.364134846
"3",230818.441443298
"4",476062.921584925
"5",451483.998154164
"6",469260.512255825
"7",570550.435245754
"8",285425.967559038
"9",247598.914113251
"10",553462.160625308
"11",333171.106033342
"12",304064.627653393
"13",247370.596982528
"14",267009.601217088
"15",515741.499106066
"16",493974.55044716
"17",764362.419468984
"18",466128.98390376
"19",666121.624996949
"20",332703.263489795
"21",816316.15364845
"22",229950.545329143
"23",308121.495529053
"24",479160.158448413
"25",733522.474192228
"26",302404.021255722
"27",1257634.23833083
"28",491160.675310733
"29",246980.592897212
"30",324961.349302003
"31",251883.497535067
"32",910285.332324143
"33",614106.776763073
"34",179365.015222837
"35",262043.535701575
"36",467276.540522253
"37",234950.386650598
"38",1208306.40364862
"39",1711450.97945764
"40",250867.462904254
"41",728729.231766349
"42",480086.216685844
"43",244768.806048167
"44",319774.815228651
"45",207598.91518585
"46",1306827.29061697
"47",815841.11321503
"48",551547.245996623
"49",352030.64501122
"50",678320.568867101
"51",352869.762313739
"52",385789.317047236
"53",1369416.93261006
"54",1418851.00023698
"55",512256.182320412
"56",532387.591960699
"57",214457.78337993
"58",262629.540351877
"59",929103.01817759
"60",466917.996948156
"61",982435.758049389
"62",658251.666243837
"63",364491.112878369
"64",546314.610193833
"65",484349.891250123
"66",249794.353514446
"67",165716.739534376
"68",877025.730951233
"69",555139.213294817
"70",469887.60617877
"71",791656.764168323
"72",906333.674815223
"73",373387.949390391
"74",488479.562412273
"75",429303.264107597
"76",816730.267877216
"77",397725.834734111
"78",629385.591451776
"79",375479.364100415
"80",1187694.34600072
"81",620158.24912173
"82",454875.272367965
"83",293125.854296869
"84",576711.679503193
"85",388575.868582923
"86",671964.89533362
"87",502295.450026329
"88",416728.18469098
"89",1173367.6904873
"90",1254234.09678043
"91",769402.631797019
"92",306468.910903724
"93",177009.410048242
"94",342032.51008645
"95",250223.268705268
"96",382401.224028906
"97",299579.940195727
"98",326065.815935563
"99",254737.284970363
"100",259255.147049281
"101",1116912.78824149
"102",451593.044181446
"103",307032.245775388
"104",682259.42747024
"105",494645.475463929
"106",981248.184217601
"107",234700.483465241
"108",283168.784493652
"109",1625128.94673856
"110",251003.013180052
"111",1691532.58926139
"112",240027.74576182
"113",303081.484290254
"114",340057.607618169
"115",2710228.13331428
"116",310668.143157007
"117",1730508.30339479
"118",187924.566108025
"119",473023.231675933
"120",574136.577771319
"121",294403.256857599
"122",287029.581541411
"123",257931.863146223
"124",768087.949349
"125",300205.133988653
"126",411998.656945297
"127",714151.326635882
"128",1065959.10482781
"129",404101.958044976
"130",588573.689337017
"131",523599.6134482
"132",492281.056141231
"133",353359.331522373
"134",294365.251508867
"135",633687.57445953
"136",523365.810048065
"137",1048087.40701516
"138",286878.87745229
"139",479259.994788304
"140",320321.945909597
"141",537445.543218761
"142",884355.198342497
"143",441304.132699017
"144",354911.048551318
"145",782172.64500866
"146",776030.015989324
"147",231614.274462997
"148",313549.033819268
"149",464190.490934019
"150",299292.388527417
"151",244909.403825083
"152",332131.039866012
"153",317755.953616457
"154",992429.652000286
"155",455727.37075139
"156",341491.815764998
"157",554507.078145059
"158",429847.792367946
"159",617305.06715171
"160",942119.52371669
"161",1438009.90322386
"162",805414.911620554
"163",400665.277196783
"164",1067829.91225665
"165",402910.101630429
"166",571176.731351197
"167",307530.583349273
"168",510339.107671899
"169",261968.529999528
"170",215289.185492668
"171",431207.67805466
"172",676076.45461127
"173",315330.394748964
"174",349549.656437084
"175",345515.981709117
"176",280844.776558551
"177",408807.857725001
"178",313543.702973528
"179",441757.230176795
"180",220415.483602206
"181",571718.849997609
"182",283547.02834054
"183",912488.336347526
"184",730484.471636806
"185",871218.531133976
"186",1124108.59109661
"187",324655.693865715
"188",505066.450604469
"189",262166.991847953
"190",451854.669170827
"191",219379.62844667
"192",484393.692016072
"193",288455.154781614
"194",297959.341787303
"195",279244.138156369
"196",421036.771861487
"197",250696.73325666
"198",241702.335754497
"199",391830.751052125
"200",222839.437995473
"201",413604.706879934
"202",244262.767068126
"203",196307.536494521
"204",278079.60752482
"205",592359.082752223
"206",304353.909417366
"207",276205.970699228
"208",244668.731075512
"209",522889.893886147
"210",243751.923971496
"211",205300.740039876
"212",539505.948629516
"213",524363.296367353
"214",551007.922117133
"215",857785.240185627
"216",322601.73996559
"217",677560.187976099
"218",293308.040540702
"219",321854.488710386
"220",345614.73125616
"221",265893.223712959
"222",481000.686091986
"223",273285.831442905
"224",182546.986861926
"225",371318.385267578
"226",192012.68770808
"227",942980.56433061
"228",490041.054365572
"229",412243.274465588
"230",730625.960652926
"231",339089.449508697
"232",365053.347054853
"233",372660.936297467
"234",457847.089681996
"235",211747.348081929
"236",387357.519286351
"237",502206.387931783
"238",476945.829314182
"239",429959.752582729
"240",919595.363220731
"241",362334.067088534
"242",439204.278006749
"243",537611.112521412
"244",376499.356232246
"245",789016.357409597
"246",555413.329776926
"247",324395.031448448
"248",263882.176328817
"249",453963.988543859
"250",901430.049231584
"251",434326.514952786
"252",452589.489307385
"253",436886.884397449
"254",312817.477021908
"255",253869.512690532
"256",391565.105386851
"257",249420.670820066
"258",563065.212385279
"259",446111.189314562
"260",380974.064175686
"261",1006751.75738833
"262",598989.549348618
"263",320241.807292086
"264",572020.847339644
"265",704796.321547214
"266",393093.274994601
"267",493747.052946159
"268",587465.81596443
"269",348723.788203835
"270",441139.06960824
"271",727972.180014206
"272",376356.667752412
"273",189968.246282005
"274",912666.780101829
"275",609330.101204245
"276",489089.688459027
"277",403025.073517933
"278",271010.968010947
"279",529765.15619989
"280",372234.146864686
"281",969377.497256646
"282",298587.185680422
"283",718982.195953793
"284",308201.934343132
"285",556175.954482987
"286",570522.068044929
"287",553581.198744213
"288",1262870.54693479
"289",246615.927876608
"290",611973.128333325
"291",279443.816406972
"292",335167.193064774
"293",364705.909289607
"294",965130.391707004
"295",679293.327401165
"296",317129.925812867
"297",725740.054315608
